# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947168_1
UniRef90_A0A0T9X6F5	371.1886203925
UniRef90_A0A0T9X6F5|unclassified	371.1886203925
UniRef90_A0A397WJP8	370.5910985979
UniRef90_A0A397WJP8|unclassified	370.5910985979
UniRef90_D4MW80	370.2859523551
UniRef90_D4MW80|unclassified	370.2859523551
UniRef90_R5V9Z5	368.9226359481
UniRef90_R5V9Z5|unclassified	368.9226359481
UniRef90_A0A174TBW0	368.1209458438
UniRef90_A0A174TBW0|unclassified	368.1209458438
UniClust90_40800-AGCPBHEI_01883	366.6802565821
UniClust90_40800-AGCPBHEI_01883|unclassified	366.6802565821
UniClust90_106017-IJMLIHBL_01518	366.1896912782
UniClust90_106017-IJMLIHBL_01518|unclassified	366.1896912782
UniClust90_1791-BBAADMJP_02185	366.0558346402
UniClust90_1791-BBAADMJP_02185|unclassified	366.0558346402
UniRef90_A0A485FXR0	365.2251603166
UniRef90_A0A485FXR0|unclassified	365.2251603166
UniClust90_15159-EBPGLOAP_01375	365.1035610418
UniClust90_15159-EBPGLOAP_01375|unclassified	365.1035610418
UniClust90_1877-JOACHKHK_01869	365.1035610418
UniClust90_1877-JOACHKHK_01869|unclassified	365.1035610418
UniRef90_A0A377ZE82	365.1035610418
UniRef90_A0A377ZE82|unclassified	365.1035610418
UniRef90_F2Z324	365.1035610418
UniRef90_F2Z324|unclassified	365.1035610418
UniClust90_1493-MIADGKKO_01474	362.1352394073
UniClust90_1493-MIADGKKO_01474|unclassified	362.1352394073
UniRef90_A0A2E7LX10	362.1352394073
UniRef90_A0A2E7LX10|unclassified	362.1352394073
UniRef90_A0A447JAR7	362.1352394073
UniRef90_A0A447JAR7|unclassified	362.1352394073
UniRef90_UNK35770-EHHGGHLE_03126	360.1183165863
UniRef90_UNK35770-EHHGGHLE_03126|unclassified	360.1183165863
UniClust90_92011-ANLFKCKC_03942	359.9772090010
UniClust90_92011-ANLFKCKC_03942|unclassified	359.9772090010
UniRef90_C7HVW6	359.9345527905
UniRef90_C7HVW6|unclassified	359.9345527905
UniClust90_15015-MNJMAEDN_00333	359.2147939282
UniClust90_15015-MNJMAEDN_00333|unclassified	359.2147939282
UniClust90_2025-JMLIKCNF_00893	359.2147939282
UniClust90_2025-JMLIKCNF_00893|unclassified	359.2147939282
UniRef90_UNK4808-IFDHPFBH_00430	356.9863160695
UniRef90_UNK4808-IFDHPFBH_00430|unclassified	356.9863160695
UniRef90_K1TD34	356.7487884779
UniRef90_K1TD34|unclassified	356.7487884779
UniClust90_37156-FLOCPACM_00845	356.3410755768
UniClust90_37156-FLOCPACM_00845|unclassified	356.3410755768
