# Reaction HUMAnN v4.0.0.alpha.1	SRR7947171_1
RXN-10060	5.6960743061
RXN-10060|unclassified	5.6960743061
RXN-10061	5.6960743061
RXN-10061|unclassified	5.6960743061
RXN-10062	5.6960743061
RXN-10062|unclassified	5.6960743061
RXN-20769	5.6960743061
RXN-20769|unclassified	5.6960743061
RXN-20770	5.6960743061
RXN-20770|unclassified	5.6960743061
RXN-21719	5.6960743061
RXN-21719|unclassified	5.6960743061
RXN-21720	5.6960743061
RXN-21720|unclassified	5.6960743061
RXN-21721	5.6960743061
RXN-21721|unclassified	5.6960743061
RXN-21722	5.6960743061
RXN-21722|unclassified	5.6960743061
RXN-21723	5.6960743061
RXN-21723|unclassified	5.6960743061
RXN-21724	5.6960743061
RXN-21724|unclassified	5.6960743061
RXN-21725	5.6960743061
RXN-21725|unclassified	5.6960743061
RXN-21726	5.6960743061
RXN-21726|unclassified	5.6960743061
RXN1G-499	5.6960743061
RXN1G-499|unclassified	5.6960743061
RXN1G-508	5.6960743061
RXN1G-508|unclassified	5.6960743061
RXN1G-517	5.6960743061
RXN1G-517|unclassified	5.6960743061
RXN1G-526	5.6960743061
RXN1G-526|unclassified	5.6960743061
RXN1G-536	5.6960743061
RXN1G-536|unclassified	5.6960743061
RXN3O-1803	5.6960743061
RXN3O-1803|unclassified	5.6960743061
RXN3O-5293	5.6960743061
RXN3O-5293|unclassified	5.6960743061
RXN3O-5304	5.6960743061
RXN3O-5304|unclassified	5.6960743061
RXN0-2605	5.6544721102
RXN0-2605|unclassified	5.6544721102
GLUTRNAREDUCT-RXN	5.6242564228
GLUTRNAREDUCT-RXN|unclassified	5.6242564228
DIOHBUTANONEPSYN-RXN	5.5940106247
DIOHBUTANONEPSYN-RXN|unclassified	5.5940106247
1TRANSKETO-RXN	5.5866059450
1TRANSKETO-RXN|unclassified	5.5866059450
2TRANSKETO-RXN	5.5866059450
2TRANSKETO-RXN|unclassified	5.5866059450
DEOXYRIBOSE-P-ALD-RXN	5.5646992867
DEOXYRIBOSE-P-ALD-RXN|unclassified	5.5646992867
GALACTOKIN-RXN	5.5180917297
GALACTOKIN-RXN|unclassified	5.5180917297
RXN-14694	5.4644808743
RXN-14694|unclassified	5.4644808743
3.2.1.52-RXN	5.4595343084
3.2.1.52-RXN|unclassified	5.4595343084
RXN-12625	5.4595343084
RXN-12625|unclassified	5.4595343084
RXN-12626	5.4595343084
RXN-12626|unclassified	5.4595343084
RXN-18082	5.4595343084
RXN-18082|unclassified	5.4595343084
RXN-21432	5.4595343084
RXN-21432|unclassified	5.4595343084
RXN0-5226	5.4595343084
RXN0-5226|unclassified	5.4595343084
ASPARTATE--TRNA-LIGASE-RXN	5.4178000225
ASPARTATE--TRNA-LIGASE-RXN|unclassified	5.4178000225
RXN-10462	5.3938982304
RXN-10462|unclassified	5.3938982304
RXN-13805	5.3938982304
RXN-13805|unclassified	5.3938982304
RXN-1381	5.3938982304
RXN-1381|unclassified	5.3938982304
RXN-15045	5.3938982304
RXN-15045|unclassified	5.3938982304
RXN-16024	5.3938982304
RXN-16024|unclassified	5.3938982304
RXN-16117	5.3938982304
RXN-16117|unclassified	5.3938982304
RXN-17016	5.3938982304
RXN-17016|unclassified	5.3938982304
RXN-17017	5.3938982304
RXN-17017|unclassified	5.3938982304
RXN-17018	5.3938982304
RXN-17018|unclassified	5.3938982304
RXN-20513	5.3938982304
RXN-20513|unclassified	5.3938982304
RXN-20564	5.3938982304
RXN-20564|unclassified	5.3938982304
RXN-8992	5.3881568700
RXN-8992|unclassified	5.3881568700
RHAMNULOKIN-RXN	5.3344768439
RHAMNULOKIN-RXN|unclassified	5.3344768439
SHIKIMATE-KINASE-RXN	5.3151770648
SHIKIMATE-KINASE-RXN|unclassified	5.3151770648
RXN0-2584	5.3087509398
RXN0-2584|unclassified	5.3087509398
ARACHIDONATE-5-LIPOXYGENASE-RXN	5.2083333333
ARACHIDONATE-5-LIPOXYGENASE-RXN|unclassified	5.2083333333
RXN-20571	5.2083333333
RXN-20571|unclassified	5.2083333333
RXN-20578	5.2083333333
RXN-20578|unclassified	5.2083333333
RXN-20579	5.2083333333
RXN-20579|unclassified	5.2083333333
RXN-20580	5.2083333333
RXN-20580|unclassified	5.2083333333
RXN-20581	5.2083333333
RXN-20581|unclassified	5.2083333333
RXN-20582	5.2083333333
RXN-20582|unclassified	5.2083333333
RXN-8647	5.2083333333
RXN-8647|unclassified	5.2083333333
RXN66-495	5.2083333333
RXN66-495|unclassified	5.2083333333
RXN66-499	5.2083333333
RXN66-499|unclassified	5.2083333333
RXN66-500	5.2083333333
RXN66-500|unclassified	5.2083333333
RXN66-503	5.2083333333
RXN66-503|unclassified	5.2083333333
RXN66-504	5.2083333333
RXN66-504|unclassified	5.2083333333
RXN66-511	5.2083333333
RXN66-511|unclassified	5.2083333333
RXN66-512	5.2083333333
RXN66-512|unclassified	5.2083333333
RXN66-513	5.2083333333
RXN66-513|unclassified	5.2083333333
RXN66-514	5.2083333333
RXN66-514|unclassified	5.2083333333
ATPASE-RXN	5.1504949663
ATPASE-RXN|unclassified	5.1504949663
NUCLEOSIDE-TRIPHOSPHATASE-RXN	5.1504949663
